"id","token","bayes_categories_id","count"
"32","peeking","1","1"
"33","private","1","1"
"34","parts","1","1"
"35","science","1","8"
"36","nature","1","3"
"37","nether","1","1"
"38","regions","1","5"
"39","lives","1","1"
"40","bugs","1","1"
"41","birds","1","1"
"42","beasts","1","1"
"43","evolution","1","8"
"44","biodiversity","1","1"
"45","menno","1","1"
"46","schilthuizen","1","1"
"47","viking","1","1"
"48","penguin","1","1"
"49","isbn","1","1"
"50","publication","1","1"
"51","date","1","2"
"52","online","1","1"
"53","february","1","2"
"54","source","1","5"
"55","trends","1","3"
"56","ecology","1","1"
"57","author","1","3"
"58","marlene","1","1"
"59","zuk","1","1"
"60","justa","1","1"
"61","heinen","1","1"
"62","kay","1","1"
"67","high","1","14"
"106","present","1","7"
"135","disks","1","1"
"156","low","1","6"
"171","measure","1","1"
"183","basic","1","2"
"187","research","1","5"
"197","scale","1","5"
"198","light","1","2"
"226","developed","1","7"
"236","including","1","8"
"249","report","1","24"
"302","structure","1","13"
"312","factor","1","10"
"349","results","1","5"
"383","support","1","2"
"387","formed","1","3"
"409","test","1","1"
"414","natural","1","4"
"444","differences","1","3"
"447","study","1","12"
"464","unique","1","2"
"481","force","1","2"
"488","ago","1","3"
"524","show","1","14"
"539","findings","1","5"
"552","highly","1","10"
"553","efficient","1","4"
"554","star","1","11"
"555","formation","1","17"
"556","ngc","1","3"
"557","possibly","1","2"
"558","stream","1","1"
"559","fed","1","1"
"560","accretion","1","7"
"561","gas","1","6"
"562","clouds","1","2"
"563","day","1","4"
"564","galaxies","1","7"
"565","inefficient","1","1"
"566","forming","1","2"
"567","stars","1","12"
"568","efficiency","1","5"
"569","critical","1","4"
"570","parameter","1","2"
"571","galaxy","1","7"
"572","billion","1","2"
"573","years","1","5"
"574","big","1","2"
"575","bang","1","1"
"576","clusters","1","4"
"577","generally","1","1"
"578","survive","1","1"
"579","births","1","1"
"580","dispersing","1","1"
"581","form","1","6"
"582","galactic","1","5"
"583","bulges","1","1"
"584","existence","1","2"
"585","ancient","1","1"
"586","massive","1","2"
"587","bound","1","6"
"588","globular","1","1"
"589","milky","1","2"
"590","suggests","1","4"
"591","efficiencies","1","1"
"592","higher","1","3"
"593","dwarf","1","1"
"594","young","1","3"
"595","cluster","1","8"
"596","detection","1","1"
"597","rotational","1","1"
"598","transition","1","4"
"599","location","1","1"
"600","cloud","1","1"
"601","hot","1","4"
"602","dense","1","1"
"603","quiescent","1","1"
"604","extremely","1","2"
"605","dusty","1","1"
"606","dust","1","2"
"607","ratio","1","2"
"608","lower","1","1"
"609","attribute","1","1"
"610","enrichment","1","2"
"611","embedded","1","1"
"612","exceeds","1","1"
"613","tenfold","1","1"
"614","suggest","1","9"
"615","feeding","1","1"
"616","streamer","1","1"
"617","falling","1","1"
"852","climate","2","31"
"853","change","2","26"
"854","thinking","2","1"
"856","warm","2","1"
"857","summer","2","1"
"860","taking","2","1"
"862","break","2","1"
"865","adaptations","2","5"
"866","humans","2","1"
"867","hot","2","2"
"868","weather","2","7"
"869","work","2","20"
"870","hard","2","5"
"871","morning","2","1"
"872","late","2","3"
"873","heat","2","17"
"874","bad","2","6"
"878","field","2","8"
"880","mexico","2","3"
"881","july","2","6"
"882","meant","2","1"
"883","day","2","4"
"887","similar","2","5"
"888","strategy","2","3"
"890","max","2","1"
"891","daily","2","4"
"894","berkeley","2","3"
"896","typically","2","2"
"900","don","2","7"
"902","crops","2","9"
"903","studies","2","8"
"905","adapt","2","2"
"906","extreme","2","3"
"907","time","2","24"
"910","slow","2","2"
"911","growth","2","20"
"913","hottest","2","2"
"920","times","2","5"
"923","nice","2","5"
"924","recent","2","11"
"925","review","2","3"
"929","discusses","2","1"
"931","crop","2","18"
"932","scientists","2","2"
"935","mentioned","2","1"
"936","past","2","3"
"937","posts","2","4"
"939","adaptation","2","10"
"941","clear","2","9"
"942","longer","2","2"
"944","idea","2","6"
"945","growing","2","5"
"947","fit","2","1"
"949","period","2","3"
"950","paper","2","9"
"955","double","2","8"
"956","cropping","2","2"
"957","trends","2","4"
"959","part","2","8"
"960","challenge","2","2"
"962","soybean","2","3"
"963","greater","2","4"
"964","risks","2","1"
"966","damage","2","1"
"967","end","2","13"
"968","season","2","3"
"969","warming","2","15"
"970","temperatures","2","7"
"971","develop","2","2"
"973","dates","2","1"
"975","simulate","2","1"
"977","continue","2","4"
"978","basic","2","6"
"979","approach","2","8"
"981","model","2","15"
"983","wheat","2","13"
"986","spring","2","4"
"987","fall","2","2"
"988","summary","2","1"
"991","years","2","6"
"992","survival","2","4"
"993","current","2","9"
"994","future","2","17"
"995","conditions","2","10"
"996","emission","2","1"
"997","scenarios","2","2"
"998","top","2","3"
"999","low","2","20"
"1000","emissions","2","4"
"1002","bottom","2","7"
"1003","high","2","24"
"1005","simulated","2","1"
"1007","match","2","3"
"1008","pretty","2","3"
"1016","century","2","1"
"1017","area","2","6"
"1020","full","2","2"
"1024","slightly","2","1"
"1025","interesting","2","4"
"1026","make","2","6"
"1027","system","2","7"
"1030","thing","2","4"
"1033","data","2","22"
"1034","coarse","2","1"
"1035","spatial","2","5"
"1036","resolution","2","9"
"1037","short","2","4"
"1038","consistent","2","1"
"1039","increase","2","14"
"1040","figure","2","4"
"1041","shows","2","2"
"1042","fraction","2","3"
"1043","reported","2","1"
"1044","red","2","6"
"1045","line","2","8"
"1047","historically","2","2"
"1048","limitations","2","1"
"1049","thresholds","2","4"
"1052","gain","2","5"
"1053","relative","2","5"
"1056","corn","2","9"
"1057","depend","2","2"
"1058","prices","2","3"
"1059","yields","2","28"
"1061","achieved","2","3"
"1062","reasons","2","5"
"1064","productive","2","2"
"1068","sense","2","8"
"1069","lot","2","15"
"1070","places","2","2"
"1073","things","2","12"
"1076","key","2","4"
"1082","blogged","2","1"
"1084","ago","2","4"
"1086","people","2","15"
"1087","response","2","13"
"1088","empirically","2","1"
"1089","strategies","2","2"
"1090","deal","2","2"
"1091","give","2","3"
"1092","western","2","2"
"1094","testing","2","1"
"1095","jxb","2","1"
"1096","oxfordjournals","2","4"
"1097","content","2","12"
"1100","article","2","3"
"1101","blogspot","2","11"
"1106","s1600","2","10"
"1108","jpg","2","4"
"1114","png","2","7"
"1115","feed","2","15"
"1116","html","2","16"
"1117","measuring","2","7"
"1118","space","2","6"
"1119","post","2","5"
"1120","written","2","1"
"1121","florence","2","1"
"1122","kondylis","2","1"
"1123","world","2","15"
"1124","bank","2","2"
"1125","version","2","2"
"1126","posted","2","1"
"1127","development","2","12"
"1128","impact","2","9"
"1129","blog","2","4"
"1130","august","2","3"
"1131","number","2","4"
"1132","economists","2","8"
"1133","engineers","2","1"
"1134","silicon","2","3"
"1135","valley","2","8"
"1136","players","2","1"
"1137","donors","2","2"
"1138","policymakers","2","1"
"1139","met","2","1"
"1140","campus","2","1"
"1141","discuss","2","1"
"1142","frontier","2","2"
"1143","topics","2","1"
"1144","outcomes","2","10"
"1145","event","2","1"
"1146","experts","2","2"
"1147","create","2","1"
"1148","measurement","2","3"
"1149","tools","2","1"
"1150","related","2","3"
"1151","topic","2","2"
"1152","generated","2","3"
"1153","excitement","2","1"
"1154","david","2","12"
"1155","lobell","2","2"
"1156","charm","2","1"
"1157","podium","2","1"
"1158","potential","2","10"
"1159","satellites","2","8"
"1160","remote","2","4"
"1161","measure","2","14"
"1162","important","2","21"
"1163","satellite","2","24"
"1164","based","2","16"
"1165","sensing","2","4"
"1166","ability","2","6"
"1167","common","2","5"
"1168","interest","2","11"
